Hectares,MUNIC_CD,MUNIC_NOME,Polo_Nome,Polo_Tipo,UF,UGRH_ID,UGRH_Nome,din_class,din_classF,latitude,longitude
10.16981811,5220108,São Luís de Montes Belos,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-16.30324367072504,-50.39502335489215
21.11929602,5220108,São Luís de Montes Belos,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-16.299919046220975,-50.392930126644146
13.80988872,5220108,São Luís de Montes Belos,,,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-16.294449259490513,-50.38656993308621
39.79575239,5213905,Mossâmedes,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-16.119645582929873,-50.044975208199396
20.15685501,5213905,Mossâmedes,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-16.102697522218268,-50.035555681026906
23.79617154,5213905,Mossâmedes,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-16.09479552028567,-50.06395917835577
23.91276442,5213905,Mossâmedes,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-16.08705036553903,-50.07163971588132
37.34161494,5213905,Mossâmedes,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-16.0975437189245,-50.07825149936653
39.27663206,5213905,Mossâmedes,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-16.101476820539048,-50.073360591070006
42.8479066,5216403,Paraúna,,,GO,15,Paranaíba,DC,SAFRA DUPLA,-16.981806216742573,-51.004996108064304
47.66529629,5216403,Paraúna,,,GO,15,Paranaíba,TC,SAFRA TRIPLA,-16.97683926621176,-50.99845074434847
67.13134778,5220157,São Luiz do Norte,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,DC,SAFRA DUPLA,-14.873641012482336,-49.34855775218153
44.21991578,5214861,Nova Glória,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,SP,SEMIPERENE,-15.016583825249292,-49.564838909509405
5.83028029,5205406,Ceres,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.354493533315315,-49.60648319255248
20.23091802,5214861,Nova Glória,Rio das Almas,Pivô Central,GO,38,Tocantins-Araguaia,TC,SAFRA TRIPLA,-15.145738769544428,-49.50073790505921
35.64451262,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.166836240584857,-48.529945828935304
40.94938736,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.16545044240966,-48.523598622064654
55.70502701,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.17255052795413,-48.52216342560103
83.5375627,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.166812380549837,-48.51514915555793
79.53039352,5222302,Vila Propício,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.293023724590245,-48.69798509929648
75.46699027,5222302,Vila Propício,,,GO,38,Tocantins-Araguaia,WC,SAFRA DUPLA (INVERNO),-15.292907052177855,-48.68619021007541
31.07369331,5215603,Padre Bernardo,,,GO,38,Tocantins-Araguaia,SC,SAFRA SIMPLES,-15.263943775746583,-48.46568681509162
